time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0,0039528;-0,270714;0,250936;0,0159052;
0,0039628;-0,266556;0,246858;0,0156366;
0,0039728;-0,262386;0,242767;0,0153671;
0,0039828;-0,258205;0,238665;0,0150968;
0,0039928;-0,254011;0,23455;0,0148255;
0,0040028;-0,249806;0,230424;0,0145534;
0,0040128;-0,245589;0,226286;0,0142804;
0,0040228;-0,241361;0,222137;0,0140066;
0,0040328;-0,237122;0,217977;0,0137319;
0,0040428;-0,232872;0,213806;0,0134564;
0,0040528;-0,228612;0,209624;0,0131801;
0,0040628;-0,224341;0,205431;0,012903;
0,0040728;-0,22006;0,201229;0,0126251;
0,0040828;-0,215769;0,197016;0,0123465;
0,0040928;-0,211468;0,192793;0,0120671;
0,0041028;-0,207158;0,18856;0,011787;
0,0041128;-0,202838;0,184318;0,0115061;
0,0041228;-0,198509;0,180067;0,0112245;
0,0041328;-0,194172;0,175807;0,0109423;
0,0041428;-0,189825;0,171537;0,0106593;
0,0041528;-0,18547;0,167259;0,0103756;
0,0041628;-0,181106;0,162973;0,0100913;
0,0041728;-0,176734;0,158678;0,00980639;
0,0041828;-0,172355;0,154375;0,0095208;
0,0041928;-0,167967;0,150064;0,00923459;
0,0042028;-0,163572;0,145746;0,00894778;
0,0042128;-0,15917;0,14142;0,00866037;
0,0042228;-0,154761;0,137086;0,00837238;
0,0042328;-0,150345;0,132746;0,00808382;
0,0042428;-0,145922;0,128399;0,00779471;
0,0042528;-0,141493;0,124045;0,00750506;
0,0042628;-0,137057;0,119685;0,00721489;
0,0042728;-0,132616;0,115319;0,0069242;
0,0042828;-0,128168;0,110946;0,00663302;
0,0042928;-0,123715;0,106568;0,00634135;
0,0043028;-0,119257;0,102184;0,00604921;
0,0043128;-0,114793;0,0977947;0,00575662;
0,0043228;-0,110325;0,0934002;0,00546358;
0,0043328;-0,105851;0,0890008;0,00517011;
0,0043428;-0,101373;0,0845966;0,00487623;
0,0043528;-0,0968912;0,0801878;0,00458195;
0,0043628;-0,0924048;0,0757747;0,00428728;
0,0043728;-0,0879146;0,0713575;0,00399224;
0,0043828;-0,0834207;0,0669364;0,00369684;
0,0043928;-0,0789233;0,0625115;0,0034011;
0,0044028;-0,0744226;0,0580832;0,00310502;
0,0044128;-0,0699189;0,0536516;0,00280863;
0,0044228;-0,0654124;0,0492169;0,00251194;
0,0044328;-0,0609033;0,0447793;0,00221495;
0,0044428;-0,0563918;0,0403391;0,0019177;
0,0044528;-0,051878;0,0358964;0,00162018;
0,0044628;-0,0473623;0,0314516;0,00132241;
0,0044728;-0,0428449;0,0270047;0,00102442;
0,0044828;-0,0383259;0,022556;0,000726205;
0,0044928;-0,0338056;0,0181057;0,000427787;
0,0045028;-0,0292842;0,0136541;0,00012918;
0,0045128;-0,024762;0,00920123;-0,000169602;
0,0045228;-0,020239;0,00474747;-0,000468545;
0,0045328;-0,0157156;0,000292961;-0,000767635;
0,0045428;-0,0111919;-0,00416207;-0,00106686;
0,0045528;-0,00666826;-0,00861741;-0,0013662;
0,0045628;-0,00214478;-0,0130729;-0,00166564;
0,0045728;0,0023783;-0,0175282;-0,00196518;
0,0045828;0,00690075;-0,0219832;-0,00226479;
0,0045928;0,0114224;-0,0264376;-0,00256446;
0,0046028;0,0159429;-0,0308914;-0,00286418;
0,0046128;0,0204622;-0,0353441;-0,00316394;
