time;V(/VoutN)1;V(/VoutP)1;V(/BiasDrive)1;a
0,00470376;0,0586315;-0,0786046;-0,00883405;
0,00471376;0,063094;-0,0830675;-0,00916625;
0,00472376;0,0675531;-0,0875269;-0,00949815;
0,00473376;0,0720085;-0,0919826;-0,00982973;
0,00474376;0,07646;-0,0964343;-0,010161;
0,00475376;0,0809073;-0,100882;-0,0104919;
0,00476376;0,0853503;-0,105325;-0,0108224;
0,00477376;0,0897888;-0,109764;-0,0111526;
0,00478376;0,0942225;-0,114198;-0,0114823;
0,00479376;0,0986512;-0,118627;-0,0118116;
0,00480376;0,103075;-0,123051;-0,0121406;
0,00481376;0,107493;-0,127469;-0,012469;
0,00482376;0,111905;-0,131882;-0,012797;
0,00483376;0,116312;-0,136289;-0,0131246;
0,00484376;0,120713;-0,14069;-0,0134516;
0,00485376;0,125107;-0,145085;-0,0137781;
0,00486376;0,129495;-0,149473;-0,0141041;
0,00487376;0,133876;-0,153854;-0,0144296;
0,00488376;0,138251;-0,158229;-0,0147545;
0,00489376;0,142618;-0,162597;-0,0150789;
0,00490376;0,146978;-0,166957;-0,0154026;
0,00491376;0,151331;-0,17131;-0,0157258;
0,00492376;0,155675;-0,175655;-0,0160483;
0,00493376;0,160012;-0,179992;-0,0163703;
0,00494376;0,164341;-0,184321;-0,0166915;
0,00495376;0,168662;-0,188642;-0,0170121;
0,00496376;0,172974;-0,192954;-0,0173321;
0,00497376;0,177277;-0,197258;-0,0176513;
0,00498376;0,181571;-0,201552;-0,0179698;
0,00499376;0,185856;-0,205838;-0,0182877;
0,00500376;0,190132;-0,210114;-0,0186047;
0,00501376;0,194398;-0,21438;-0,0189211;
0,00502376;0,198655;-0,218637;-0,0192366;
0,00503376;0,202901;-0,222884;-0,0195514;
0,00504376;0,207137;-0,22712;-0,0198653;
0,00505376;0,211363;-0,231347;-0,0201785;
0,00506376;0,215579;-0,235562;-0,0204908;
0,00507376;0,219783;-0,239767;-0,0208023;
0,00508376;0,223977;-0,243961;-0,021113;
0,00509376;0,228159;-0,248144;-0,0214227;
0,00510376;0,23233;-0,252315;-0,0217316;
0,00511376;0,23649;-0,256475;-0,0220395;
0,00512376;0,240637;-0,260623;-0,0223466;
0,00513376;0,244773;-0,264759;-0,0226527;
0,00514376;0,248897;-0,268883;-0,0229579;
0,00515376;0,253008;-0,272994;-0,0232621;
0,00516376;0,257106;-0,277093;-0,0235653;
0,00517376;0,261192;-0,281179;-0,0238676;
0,00518376;0,265265;-0,285252;-0,0241688;
0,00519376;0,269325;-0,289312;-0,024469;
0,00520376;0,273371;-0,293359;-0,0247682;
0,00521376;0,277404;-0,297392;-0,0250664;
0,00522376;0,281423;-0,301412;-0,0253634;
0,00523376;0,285429;-0,305417;-0,0256595;
0,00524376;0,28942;-0,309409;-0,0259544;
0,00525376;0,293397;-0,313386;-0,0262482;
0,00526376;0,297359;-0,317348;-0,0265409;
0,00527376;0,301307;-0,321296;-0,0268324;
0,00528376;0,305239;-0,325229;-0,0271228;
0,00529376;0,309157;-0,329147;-0,0274121;
0,00530376;0,31306;-0,33305;-0,0277002;
0,00531376;0,316947;-0,336937;-0,0279871;
0,00532376;0,320818;-0,340809;-0,0282727;
