time;V(/VoutN)1;V(/VoutP)1;
0,0572618;-0,771808;0,468134;
0,0573618;-0,75288;0,457325;
0,0574618;-0,731103;0,443587;
0,0575618;-0,706561;0,427005;
0,0576618;-0,679349;0,40768;
0,0577618;-0,649576;0,385726;
0,0578618;-0,617362;0,361269;
0,0579618;-0,582836;0,334451;
0,0580618;-0,546141;0,305422;
0,0581618;-0,507428;0,274345;
0,0582618;-0,466857;0,241393;
0,0583618;-0,424596;0,206749;
0,0584618;-0,380822;0,170604;
0,0585618;-0,335717;0,133156;
0,0586618;-0,28947;0,0946108;
0,0587618;-0,242275;0,0551798;
0,0588618;-0,194331;0,0150784;
0,0589618;-0,145838;-0,0254744;
0,0590618;-0,0969996;-0,0662568;
0,0591618;-0,0480212;-0,107046;
0,0592618;0,000892175;-0,147618;
0,0593618;0,0495358;-0,187751;
0,0594618;0,0977064;-0,227223;
0,0595618;0,145203;-0,265818;
0,0596618;0,191829;-0,303322;
0,0597618;0,23739;-0,339525;
0,0598618;0,2817;-0,374226;
0,0599618;0,324575;-0,407229;
0,0600618;0,365841;-0,438346;
0,0601618;0,405331;-0,4674;
0,0602618;0,442885;-0,494222;
0,0603618;0,478355;-0,518654;
0,0604618;0,5116;-0,54055;
0,0605618;0,542492;-0,559776;
0,0606618;0,570911;-0,57621;
0,0607618;0,596752;-0,589745;
0,06083;0,612842;-0,597263;
0,0608863;0,625173;-0,602403;
0,0609293;0,634003;-0,605671;
0,0609741;0,642639;-0,608459;
0,0610149;0,65003;-0,610455;
0,0610967;0,663376;-0,612857;
0,0611967;0,677073;-0,61289;
0,0612967;0,687837;-0,609695;
0,0613967;0,695643;-0,603262;
0,0614967;0,700483;-0,593594;
0,0615967;0,702358;-0,58071;
0,0616967;0,701288;-0,564646;
0,0617967;0,697302;-0,545453;
0,0618967;0,690445;-0,523196;
0,0619967;0,680776;-0,497957;
0,0620967;0,668363;-0,469833;
0,0621967;0,653291;-0,438933;
0,0622967;0,635654;-0,405383;
0,0623967;0,61556;-0,369319;
0,0624967;0,593126;-0,330892;
0,0625967;0,568481;-0,290263;
0,0626967;0,541763;-0,247607;
0,0627967;0,51312;-0,203107;
0,0628967;0,482709;-0,156956;
