time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,105492;2,50615;2,4955;2,49676;
0,105502;2,5064;2,49564;2,49689;
0,105512;2,50642;2,49577;2,49702;
0,105522;2,50633;2,49559;2,49684;
0,105532;2,50609;2,49543;2,49669;
0,105542;2,50644;2,49566;2,49692;
0,105552;2,50654;2,49589;2,49714;
0,105562;2,50645;2,49571;2,49696;
0,105572;2,50617;2,49552;2,49677;
0,105582;2,50639;2,49563;2,49688;
0,105592;2,50638;2,49573;2,49698;
0,105602;2,5063;2,49556;2,49681;
0,105612;2,50608;2,49543;2,49668;
0,105622;2,50642;2,49565;2,4969;
0,105632;2,50651;2,49586;2,49711;
0,105642;2,50642;2,49569;2,49693;
0,105652;2,50615;2,49551;2,49674;
0,105662;2,5064;2,49565;2,49688;
0,105672;2,50642;2,49578;2,49701;
0,105682;2,50633;2,4956;2,49683;
0,105692;2,50609;2,49544;2,49668;
0,105702;2,50644;2,49567;2,49691;
0,105712;2,50654;2,4959;2,49713;
0,105722;2,50645;2,49572;2,49695;
0,105732;2,50617;2,49553;2,49676;
0,105742;2,50639;2,49564;2,49687;
0,105752;2,50638;2,49574;2,49696;
0,105762;2,5063;2,49557;2,4968;
0,105772;2,50608;2,49544;2,49667;
0,105782;2,50642;2,49566;2,49688;
0,105792;2,50651;2,49587;2,49709;
0,105802;2,50642;2,4957;2,49692;
0,105812;2,50615;2,49552;2,49673;
0,105822;2,5064;2,49566;2,49687;
0,105832;2,50642;2,49579;2,497;
0,105842;2,50633;2,49561;2,49682;
0,105852;2,50609;2,49545;2,49666;
0,105862;2,50644;2,49568;2,49689;
0,105872;2,50654;2,49591;2,49712;
0,105882;2,50645;2,49573;2,49694;
0,105892;2,50617;2,49554;2,49675;
0,105902;2,50639;2,49565;2,49685;
0,105912;2,50638;2,49575;2,49695;
0,105922;2,5063;2,49558;2,49679;
0,105932;2,50608;2,49545;2,49665;
0,105942;2,50642;2,49567;2,49687;
0,105952;2,50651;2,49588;2,49708;
0,105962;2,50642;2,49571;2,49691;
0,105972;2,50615;2,49553;2,49672;
0,105982;2,5064;2,49567;2,49686;
0,105992;2,50642;2,4958;2,49699;
0,106002;2,50633;2,49562;2,49681;
0,106012;2,50609;2,49546;2,49665;
0,106022;2,50644;2,49569;2,49688;
0,106032;2,50654;2,49592;2,4971;
0,106042;2,50645;2,49574;2,49693;
0,106052;2,50617;2,49555;2,49674;
0,106062;2,50639;2,49566;2,49684;
0,106072;2,50638;2,49576;2,49694;
0,106082;2,5063;2,4956;2,49677;
0,106092;2,50608;2,49547;2,49664;
0,106102;2,50642;2,49569;2,49686;
0,106112;2,50651;2,4959;2,49707;
0,106122;2,50642;2,49572;2,49689;
0,106132;2,50615;2,49554;2,49671;
0,106142;2,5064;2,49568;2,49685;
