time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,106004;2,50625;2,50788;2,50788;
0,106014;2,50626;2,50788;2,50788;
0,106024;2,50615;2,50788;2,50788;
0,106034;2,50639;2,50788;2,50788;
0,106044;2,5064;2,50788;2,50788;
0,106054;2,5063;2,50788;2,50788;
0,106064;2,50612;2,50788;2,50788;
0,106074;2,50626;2,50788;2,50788;
0,106084;2,50622;2,50788;2,50788;
0,106094;2,50627;2,50788;2,50788;
0,106104;2,50617;2,50787;2,50787;
0,106114;2,50635;2,50787;2,50787;
0,106124;2,50632;2,50787;2,50787;
0,106134;2,50626;2,50787;2,50787;
0,106144;2,50612;2,50787;2,50787;
0,106154;2,50649;2,50787;2,50787;
0,106164;2,50661;2,50787;2,50787;
0,106174;2,50652;2,50787;2,50787;
0,106184;2,50624;2,50787;2,50787;
0,106194;2,50649;2,50787;2,50787;
0,106204;2,5065;2,50787;2,50787;
0,106214;2,50635;2,50787;2,50787;
0,106224;2,50612;2,50787;2,50787;
0,106234;2,50632;2,50787;2,50787;
0,106244;2,50631;2,50787;2,50787;
0,106254;2,50626;2,50787;2,50787;
0,106264;2,50612;2,50787;2,50787;
0,106274;2,50647;2,50787;2,50787;
0,106284;2,50658;2,50787;2,50787;
0,106294;2,50648;2,50787;2,50787;
0,106304;2,50621;2,50787;2,50787;
0,106314;2,50626;2,50787;2,50787;
0,106324;2,50617;2,50787;2,50787;
0,106334;2,50634;2,50787;2,50787;
0,106344;2,50631;2,50787;2,50787;
0,106354;2,50626;2,50787;2,50787;
0,106364;2,50612;2,50787;2,50787;
0,106374;2,50648;2,50787;2,50787;
0,106384;2,50659;2,50787;2,50787;
0,106394;2,50649;2,50786;2,50786;
0,106404;2,50621;2,50786;2,50786;
0,106414;2,50626;2,50786;2,50786;
0,106424;2,50617;2,50786;2,50786;
0,106434;2,50635;2,50786;2,50786;
0,106444;2,50632;2,50786;2,50786;
0,106454;2,50626;2,50786;2,50786;
0,106464;2,50612;2,50786;2,50786;
0,106474;2,50649;2,50786;2,50786;
0,106484;2,50662;2,50786;2,50786;
0,106494;2,50652;2,50786;2,50786;
0,106504;2,50624;2,50786;2,50786;
0,106514;2,50629;2,50786;2,50786;
0,106524;2,50618;2,50786;2,50786;
